,Gatys,Gatys + MSInit,Gatys + Spectrum,Gatys + Spectrum + MSInit,Autocorr,Autocorr + MSInit,Snelgrove,Deep Corr,Efros Leung,Efros Freeman,Ulyanov
Pierzga_2006_1024,0.6783592141468953,0.6462819180665397,0.6209283418961304,0.6230459504704728,0.6840366372260386,0.6348953222113183,0.6078450614789586,0.7168783968043633,0.23501029459870315,0.08037387673420693,0.5766221208797553
BrickRound0122_1_seamless_S,0.8787974561757971,0.8808174103792645,0.8853912909619196,0.8863750505108815,0.8870239950739864,0.8842430102561142,0.8611330793357579,0.8744257840256573,0.14230887644557333,0.08064374915815198,0.8845056668398469
metal_ground_1024,0.8444101291154342,0.8591126440762762,0.8389563970828764,0.8619999422732783,0.8696121726413824,0.8636783467066905,0.8384142469549154,0.8567705632693822,0.42940984048182573,0.10145423233081252,0.8469246089014605
bubble_1024,0.8146216975504628,0.8019906097866035,0.8225182320229367,0.8180213204025477,0.8254469010371568,0.819089264753988,0.7912558448305721,0.8309980603406887,0.2735294117647058,0.08544324501144906,0.811207643017953
CRW_3241_1024,0.8491480497989186,0.8569137370355404,0.8676889106967616,0.8681560160865132,0.8647333025457484,0.8600781234967,0.85283390097943,0.8542917362831519,0.3596913544613134,0.10670832611749315,0.8668653428005157
fabric_white_blue_1024,0.8273398564528853,0.8109719255710135,0.8276174257730571,0.8202976774615636,0.8564798245107661,0.8339211837826397,0.8112470896111144,0.8736921703059284,0.1666517539302277,0.06719967673035843,0.8737054782658893
marbre_1024,0.721839943042968,0.7189766976466739,0.725032711808963,0.7239113702399508,0.7704799976909311,0.7531475495006639,0.7189468721737959,0.7708570989610339,0.2444486135965671,0.07337643595220222,0.7355837133675845
CRW_3444_1024,0.7130284400315573,0.7122553830167985,0.7508259731763167,0.7480074659893399,0.7620283245781139,0.7483494968154092,0.7122616367449826,0.7612274586622112,0.15311868613981416,0.08844022397968021,0.7224066270276511
BubbleMarbel,0.8487314552906541,0.8483610421597491,0.8542587888933788,0.8554854817294926,0.8644667975139025,0.8603826319536647,0.8313706247955512,0.8145056749438266,0.1972151667340145,0.08742856318189696,0.8444904654697993
TexturesCom_BrickSmallBrown0473_1_M_1024,0.8115727645327022,0.8109469106582771,0.8217976101137217,0.82922078546826,0.8198315341838404,0.8215537147145413,0.8090780080432566,0.7995155652858597,0.25495006638573003,0.06463949662298674,0.8418321499355386
TexturesCom_TilesOrnate0085_1_seamless_S,0.7040177798302835,0.6918792934249264,0.7255652408166406,0.7387115395716677,0.7559824125921222,0.7632603090303836,0.7332857087879312,0.7631335100151716,0.09049625738420985,0.058420885527910915,0.7280215128249533
CRW_5751_1024,0.7439112740287479,0.7400507995150956,0.7451187246242953,0.7436957609344033,0.7643532682945602,0.7573211914795359,0.7128764263310821,0.7497210539455743,0.21536059958821607,0.08247705362812452,0.7396317997267602
TexturesCom_FloorsCheckerboard0046_4_seamless_S_1024,0.6527073832477054,0.777321095268333,0.8585315284111682,0.8640598241259212,0.8570152398545287,0.8581615963362774,0.7809857799842214,0.7200034568185747,0.09776212742211698,0.04960264773230194,0.8732489561084493
vegetable_1024,0.7575689353268295,0.7430371952510151,0.7412303488618215,0.7468086744020473,0.7730752948873367,0.738255979526256,0.7393518251265178,0.7292168385473681,0.26989503357770983,0.09260568800631142,0.7243611576131925
tricot_1024,0.7744063768785238,0.7610205122284439,0.7734163636013778,0.7770180299794108,0.799887432892686,0.7789307086917201,0.7551737574323154,0.7658490330510265,0.2022244030094864,0.08097327252785314,0.7725817314168062
lego_1024,0.3799404452654467,0.3703270218784276,0.3336407281263831,0.5058881256133464,0.40030210317689385,0.4218991129327099,0.3235510592853432,0.4478399685045419,0.326760665011834,0.0645962015817122,0.1370182224018165
TexturesCom_TilesOrnate0158_1_seamless_S,0.7079614770343858,0.690446227558737,0.6965157112894226,0.7094565991264022,0.7593531720833574,0.754888010159903,0.6803589639977679,0.7317451172437633,0.22758808135619313,0.14169937847562974,0.6826396505609114
Scrapyard0093_1_seamless_S,0.8504810560141622,0.8476639919952279,0.8564956993592334,0.8567901056399008,0.8569849333256364,0.8569517404606593,0.8360051184359907,0.8548237022526934,0.46021762974080704,0.12936798860859366,0.8329879351151648
glass_1024,0.7556297985337412,0.7912197656295099,0.7810887259712521,0.789568781388905,0.7851810694837307,0.7865862341010987,0.7877470222632723,0.7859235466958576,0.33917335334526355,0.09369576093440313,0.7948151782793589
rouille_1024,0.7224730127576056,0.7318540860897843,0.7306144047412881,0.7359406569300929,0.795369835863688,0.7788171794723777,0.7343065096499837,0.6997661846325209,0.22419038272816483,0.06262579614770347,0.7863062595008563
